ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
PRIO3,PRIOF595,CALL,59.5,2026-06-19,23,CURTO,9.95,79.0,LATERALIDADE,Monitorar — Iron Condor futuro,58.7,CANDIDATA_PROXIMO_PREGAO,Liquidez score 79.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
ENEV3,ENEVL220,CALL,22.0,2026-12-18,205,EXTRA_LONGO,7.35,79.0,PROTECAO_CARTEIRA,"Protective Put, Collar",58.7,MONITORAR_NO_RTD,Liquidez score 79.0 ≥ 30 — monitorar confirmação via RTD.
CMIG4,CMIGF142,CALL,12.49,2026-06-19,23,CURTO,0.04,45.6,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.6 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRQ525W5,PUT,51.96,2026-05-29,2,CURTO,5.94,45.7,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.7 ≥ 30 — monitorar confirmação via RTD.
BBDC4,BBDCF209,CALL,19.76,2026-06-19,23,CURTO,0.05,45.5,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.5 ≥ 30 — monitorar confirmação via RTD.
BBDC4,BBDCH13,CALL,13.14,2026-08-21,86,MEDIO,4.86,62.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 62.0 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBF482,CALL,47.94,2026-06-19,23,CURTO,0.02,45.2,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.2 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBS428,PUT,42.88,2026-07-17,51,MEDIO,1.5,45.3,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.3 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBF22,CALL,22.16,2026-06-19,23,CURTO,19.61,45.4,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.4 ≥ 30 — monitorar confirmação via RTD.
ABEV3,ABEVR189,PUT,18.92,2026-06-19,23,CURTO,2.03,45.2,CONTINUACAO_ALTA,"Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.2 ≥ 30 — monitorar confirmação via RTD.
